bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,propertylandusetypeid,yearbuilt,structuretaxvaluedollarcnt,assessmentyear,logerror,rf_logerror,stacking_logerror,DNN_logerror,id2
2,2,885,266,1985,60143,2015,-0.31181548,-0.130859227,-0.09474486,-0.031531967,06037134422
2,2,885,266,1985,61060,2016,-0.31181548,-0.123950286,-0.094394386,-0.032316081,06037134422
3,2,1242,266,1983,122100,2015,-0.230012699,-0.022952108,-0.024302423,-0.034963455,06037135203
3,2,1242,266,1983,185080,2016,-0.230012699,-0.084361114,-0.06367934,-0.037089501,06037135203
3,3,2445,266,1982,436551,2015,0.14721118,0.052248843,0.036035955,0.001028262,06037135204
3,3,2445,266,1982,443208,2016,0.14721118,0.05234628,0.023327827,-0.043700971,06037135204
2,3,1160,261,1960,105045,2015,-0.065817428,-0.018513893,-0.068960845,-0.0449953,06037135203
2,3,1160,261,1960,106646,2016,-0.065817428,-0.04149434,-0.006748319,-0.026691351,06037135203
2,4,1570,261,1959,115379,2015,-0.095991452,-0.085738647,-0.033515155,-0.036205277,06037135102
2,4,1570,261,1959,117138,2016,-0.095991452,-0.070529293,-0.0653072,-0.044250298,06037135102
3,4,2863,261,1963,358711,2015,-0.006072861,-0.009134768,-0.030095518,0.014190797,06037137302
3,4,2863,261,1963,364181,2016,-0.006072861,-0.00276615,-0.0425092,-0.049526431,06037137302
7,6,6610,269,1997,1333515,2015,0.053068225,0.061622919,-0.068926334,0.205651835,06037800203
7,6,6610,269,1997,1353851,2016,0.053068225,0.068021228,-0.040079534,0.173201174,06037800203
3,2,1394,269,1998,203426,2015,0.296270857,-0.108531132,-0.12001532,-0.031684887,06037800324
3,2,1394,269,1998,203426,2015,-0.715629644,-0.108531132,-0.12001532,-0.031684887,06037800324
3,2,1394,269,1998,206528,2016,0.296270857,-0.129521281,-0.13599652,-0.038497906,06037800324
3,2,1394,269,1998,206528,2016,-0.715629644,-0.129521281,-0.13599652,-0.038497906,06037800324
2,4,1673,269,1978,176731,2015,0.029677674,-0.005880687,0.005922019,-0.003532745,06037800331
2,4,1673,269,1978,179426,2016,0.029677674,-0.013595582,-0.013105094,-0.045096472,06037800331
5,5,4603,269,1988,632642,2015,0.221172333,0.066999299,-0.02062893,0.105387166,06037800333
5,5,4603,269,1988,642289,2016,0.221172333,0.064439357,-0.01858753,0.060492765,06037800333
1,1,473,266,1968,65452,2015,-0.291526745,0.007709616,0.069604576,-0.032586105,06037800325
1,1,473,266,1968,66450,2016,-0.291526745,0.007895804,0.060355097,-0.03124297,06037800325
3,2,1675,261,1988,151352,2015,-0.165640383,-0.119806,-0.17738146,-0.036612954,06037800329
3,2,1675,261,1988,153660,2016,-0.165640383,-0.121125245,-0.13016284,-0.025400275,06037800329
4,4,3053,261,1970,346691,2015,0.221968955,0.012759971,-0.04876417,0.013019007,06037800204
4,4,3053,261,1970,351978,2016,0.221968955,0.003152447,-0.049639404,-0.020379633,06037800204
5,5,4176,269,1988,612000,2015,0.146266595,0.063193715,0.05503851,0.099636778,06037800204
5,5,4176,269,1988,612000,2016,0.146266595,0.069895386,0.06658515,0.066234946,06037800204
5,5,3757,261,2001,552100,2015,0.531682819,0.136678354,0.1007517,0.078805164,06037800101
5,5,3757,261,2001,597500,2016,0.531682819,0.122138545,0.15160906,0.04811905,06037800101
2,4,1212,261,1954,32615,2015,-0.834651555,-0.161294588,-0.15887487,-0.026418058,060371313
2,4,1212,261,1954,74113,2016,-0.834651555,0.014393411,-0.016976178,-0.036699571,060371313
2,4,1200,261,1954,63032,2015,0.882709977,0.039150603,0.040994346,-0.030417634,060371313
2,4,1200,261,1954,63993,2016,0.882709977,0.132780101,0.1239759,-0.035550006,060371313
2,2,1060,266,1987,52845,2015,-0.173705471,-0.07243434,-0.08496308,-0.03149464,06037131702
2,2,1060,266,1987,53650,2016,-0.173705471,-0.0838439,-0.09232825,-0.03222432,06037131702
3,3,1897,261,1949,137306,2015,-0.538188325,-0.123375011,-0.1500777,-0.031234968,060371316
3,3,1897,261,1949,139399,2016,-0.538188325,-0.115301857,-0.13713205,-0.030632395,060371316
2,4,1296,261,1954,40163,2015,0.057813791,0.019386633,-0.054704666,-0.030674525,060371316
2,4,1296,261,1954,40775,2016,0.057813791,0.033116838,0.006842643,-0.034373641,060371316
3,4,2597,261,1964,234987,2015,0.244975017,0.113046931,0.24638832,0.013814572,06037134104
3,4,2597,261,1964,238570,2016,0.244975017,0.129549268,0.09440565,-0.044966798,06037134104
2,3,1327,261,1953,163480,2015,-0.084633234,-0.10321966,-0.13821322,-0.047950104,06037134720
2,3,1327,261,1953,165973,2016,-0.084633234,-0.095255077,-0.12960088,-0.032277983,06037134720
1,2,1356,261,1941,28938,2015,-0.278586197,0.018476677,-0.037714183,-0.03829553,060371318
1,2,1356,261,1941,138000,2016,-0.278586197,0.023925969,0.03829664,-0.044369169,060371318
2,3,1208,261,1950,27108,2015,0.308766746,-0.127708466,-0.069604695,-0.038679805,060371327
2,3,1208,261,1950,27521,2016,0.308766746,-0.013352096,0.009349644,-0.039477907,060371327
2,3,1742,261,1953,192864,2015,-0.041678209,-0.105242472,-0.107008934,-0.033183523,060371331
2,3,1742,261,1953,195805,2016,-0.041678209,-0.105488014,-0.093114555,-0.034296677,060371331
1,2,950,261,1951,74466,2015,0.284804728,0.192500056,0.1500161,-0.053059362,06037132502
1,2,950,261,1951,75601,2016,0.284804728,0.167075886,0.11608121,-0.036857855,06037132502
2,4,1856,261,1961,143038,2015,0.18835002,0.103133271,0.10815576,-0.017423671,06037137104
2,4,1856,261,1961,145219,2016,0.18835002,0.121036274,0.1288676,-0.050574034,06037137104
2,2,1001,266,1979,119000,2015,-0.368161147,-0.132981845,-0.14222264,-0.033931062,06037139303
2,2,1001,266,1979,128600,2016,-0.368161147,-0.142607636,-0.13842231,-0.033138812,06037139303
3,3,1877,266,1976,305000,2015,-0.071852233,0.014621346,0.004100859,-0.016450005,060371392
3,3,1877,266,1976,305000,2016,-0.071852233,0.041925089,0.015267581,-0.025781568,060371392
1,1,707,266,1970,77799,2015,0.041602096,0.043329473,0.043914527,-0.0314207,06037139303
1,1,707,266,1970,78985,2016,0.041602096,0.040364722,0.03260404,-0.03076135,06037139303
3,3,1946,266,1965,219600,2015,-0.012107666,-0.046848293,-0.06970596,-0.021209013,06037139503
3,3,1946,266,1965,222948,2016,-0.012107666,-0.048555407,-0.0523929,-0.021552812,06037139503
3,2,1540,266,1990,152700,2015,0.419380875,-0.033199149,0.010100126,-0.033678904,06037139504
3,2,1540,266,1990,266000,2016,0.419380875,-0.039664811,-0.011963785,-0.034620896,06037139504
1,3,986,261,1952,150692,2015,-0.006072861,0.142826316,0.13589168,-0.050194211,06037137502
1,3,986,261,1952,152990,2016,-0.006072861,0.143189574,-0.000637114,-0.032292053,06037137502
3,5,2852,261,1966,120418,2015,0.367206815,0.116833389,0.0854758,0.009149313,06037800102
3,5,2852,261,1966,122254,2016,0.367206815,0.112776294,0.06492624,-0.027227072,06037800102
3,4,2502,261,1961,93205,2015,-0.247439977,-0.095542241,-0.07303387,0.001247954,06037139801
3,4,2502,261,1961,94626,2016,-0.247439977,-0.085868988,-0.11253899,-0.039305765,06037139801
2,2,1430,261,1952,105897,2015,0.070744652,-0.053861585,-0.06044835,-0.038947966,060371311
2,2,1430,261,1952,107511,2016,0.070744652,-0.048470163,-0.031375945,-0.042238571,060371311
2,3,1628,261,1953,207870,2015,1.637204476,0.101073758,0.054534435,-0.034002319,06037127102
2,3,1628,261,1953,211040,2016,1.637204476,0.029282794,0.07167947,-0.042121381,06037127102
3,3,1752,261,1955,152205,2015,0.197235655,-0.039596067,0.002782166,-0.037021972,06037132102
3,3,1752,261,1955,154526,2016,0.197235655,-0.047518665,-0.073723495,-0.030917231,06037132102
1,3,1126,261,1950,22008,2015,-0.071852233,-0.008625241,0.009276629,-0.036571272,06037132001
1,3,1126,261,1950,22343,2016,-0.071852233,-0.012173848,0.012375683,-0.044442367,06037132001
2,3,1259,261,1952,131662,2015,-0.418853507,-0.249280416,-0.27422613,-0.047742844,06037132101
2,3,1259,261,1952,133669,2016,-0.418853507,-0.241237724,-0.23673022,-0.037692152,06037132101
2,4,1604,261,1950,197000,2015,-0.095991452,-0.128226567,-0.16699511,-0.033392765,06037127605
2,4,1604,261,1950,238707,2016,-0.095991452,-0.162347849,-0.22015625,-0.060489804,06037127605
4,4,4127,261,1924,433905,2015,-0.892025985,-0.170190533,-0.34395272,0.040868897,060371285
4,4,4127,261,1924,440522,2016,-0.892025985,-0.17762246,-0.36077154,0.010338616,060371285
